Row Labels,Count of Latency
"1728782086852	",32
"1728782087006	",6
"1728782087007	",7
"1728782087008	",2
"1728782087009	",4
"1728782087010	",2
"1728782087011	",3
"1728782087012	",2
"1728782087013	",3
"1728782087014	",2
"1728782087015	",2
"1728782087016	",4
"1728782087017	",4
"1728782087018	",3
"1728782087019	",2
"1728782087020	",3
"1728782087021	",7
"1728782087023	",1
"1728782087024	",2
"1728782087025	",7
"1728782087026	",5
"1728782087030	",2
"1728782087031	",9
"1728782087032	",4
"1728782087033	",3
"1728782087034	",5
"1728782087035	",7
"1728782087036	",8
"1728782087037	",8
"1728782087038	",7
"1728782087039	",9
"1728782087040	",2
"1728782087041	",7
"1728782087042	",13
"1728782087043	",10
"1728782087044	",7
"1728782087045	",9
"1728782087046	",9
"1728782087047	",7
"1728782087048	",12
"1728782087049	",13
"1728782087050	",14
"1728782087051	",10
"1728782087052	",5
"1728782087053	",15
"1728782087054	",11
"1728782087055	",11
"1728782087056	",8
"1728782087057	",13
"1728782087058	",10
"1728782087059	",7
"1728782087060	",11
"1728782087061	",9
"1728782087062	",13
"1728782087063	",10
"1728782087064	",8
"1728782087065	",6
"1728782087066	",6
"1728782087067	",3
"1728782087068	",3
"1728782087069	",2
"1728782087070	",1
"1728782087071	",4
"1728782087072	",12
"1728782087073	",6
"1728782087074	",5
"1728782087075	",11
"1728782087076	",11
"1728782087077	",9
"1728782087078	",5
"1728782087079	",8
"1728782087080	",12
"1728782087081	",9
"1728782087082	",1
"1728782087087	",1
"1728782087088	",7
"1728782087089	",4
"1728782087090	",13
"1728782087091	",14
"1728782087092	",8
"1728782087093	",11
"1728782087094	",4
"1728782087095	",6
"1728782087096	",15
"1728782087097	",7
"1728782087098	",10
"1728782087099	",16
"1728782087100	",7
"1728782087101	",10
"1728782087102	",9
"1728782087103	",14
"1728782087104	",10
"1728782087105	",15
"1728782087106	",11
"1728782087107	",10
"1728782087108	",13
"1728782087109	",17
"1728782087110	",13
"1728782087111	",14
"1728782087112	",14
"1728782087113	",12
"1728782087114	",20
"1728782087115	",11
"1728782087116	",13
"1728782087117	",17
"1728782087118	",17
"1728782087119	",16
"1728782087120	",19
"1728782087121	",21
"1728782087122	",15
"1728782087123	",20
"1728782087124	",20
"1728782087125	",15
"1728782087126	",16
"1728782087127	",15
"1728782087128	",18
"1728782087129	",19
"1728782087130	",17
"1728782087131	",15
"1728782087132	",16
"1728782087133	",22
"1728782087134	",13
"1728782087135	",22
"1728782087136	",19
"1728782087137	",18
"1728782087138	",15
"1728782087139	",17
"1728782087140	",22
"1728782087141	",20
"1728782087142	",13
"1728782087143	",21
"1728782087144	",20
"1728782087145	",20
"1728782087146	",13
"1728782087147	",23
"1728782087148	",20
